# text = vascular membrane that lines the inner surface of long bones
# id = 05319144-n-1
# type = def
1	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	0:8
2	the	wf	DT	the	_	ignore	5:8
3	ties	wf	NNS	tie%1|tie%2	_	un	9:13
4	of	wf	IN	of	_	ignore	14:16
5	;	wf	punc	_	_	ignore	16:17

# text = They untied the prisoner
# id = 01284461-v-2
# type = ex
1	They	wf	_	they	_	ignore	0:4
2	untied	wf	_	untie%2|untied%3	untie%2:35:00::	auto	5:11
3	the	wf	_	the	_	ignore	12:15
4	prisoner	wf	_	prisoner%1	_	un	16:24

# text = wrap something tightly with heated plastic that shrinks upon cooling; 
# id = 01284002-v-1
# type = def
1	wrap	wf	VB	wrap%1|wrap%2	wrap%2:35:00::	man	0:4
2	something	wf	PRP	something	_	ignore	5:14
3	tightly	wf	RB	tightly%4	tightly%4:02:01::	man	15:22
4	with	wf	IN	with	_	ignore	23:27
5	heated	wf	JJ	heat%2|heated%3	heated%5:00:00:hot:01	man	28:34
6	plastic	wf	NN	plastic%1|plastic%3	plastic%1:27:00::	man	35:42
7	that	wf	WDT	that	_	ignore	43:47
8	shrinks	wf	VBZ	shrink%1|shrink%2	shrink%2:30:00::	man	48:55
9	upon	wf	IN	upon	_	ignore	56:60
10	cooling	wf	VBG	cooling%1|cool%2	_	un	61:68
11	;	wf	punc	_	_	ignore	68:69

# text = shrinkwrap the CDs
# id = 01284002-v-2
# type = ex
1	shrinkwrap	wf	_	shrinkwrap%2	shrinkwrap%2:35:00::	auto	0:10
2	the	wf	_	the	_	ignore	11:14
3	CDs	wf	_	CD%1	_	un	15:18

# text = loosen the ties of; 
# id = 01285159-v-1
# type = def
1	loosen	wf	VB	loosen%2	loosen%2:35:05::	man	0:6
2	the	wf	DT	the	_	ignore	7:10
3	ties	wf	NNS	tie%1|tie%2	_	un	11:15
4	of	wf	IN	of	_	ignore	16:18
5	;	wf	punc	_	_	ignore	18:19

# text = unloose your sneakers
# id = 01285159-v-2
# type = ex
1	unloose	wf	_	unloose%2	unloose%2:35:00::	auto	0:7
2	your	wf	_	your	_	ignore	8:12
3	sneakers	wf	_	sneaker%1	_	un	13:21

# text = tie again or anew; 
# id = 01285286-v-1
# type = def
1	tie	wf	VB	tie%1|tie%2	_	un	0:3
2	again	wf	RB	again%4	again%4:02:00::	auto	4:9
3	or	wf	CC	or	_	ignore	10:12
4	anew	wf	RB	anew%4	anew%4:02:00::	auto	13:17
5	;	wf	punc	_	_	ignore	17:18

# text = retie the string and make it strong enough now
# id = 01285286-v-2
# type = ex
1	retie	wf	_	retie%2	retie%2:35:00::	auto	0:5
2	the	wf	_	the	_	ignore	6:9
3	string	wf	_	string%1|string%2	_	un	10:16
4	and	wf	_	and	_	ignore	17:20
5	make	wf	_	make%1|make%2	_	un	21:25
6	it	wf	_	it	_	ignore	26:28
7	strong	wf	_	strong%3	_	un	29:35
8	enough	wf	_	enough%1|enough%3|enough%4	_	un	36:42
9	now	wf	_	now%1|now%4	_	un	43:46

# text = finish the last row
# id = 01286038-v-1
# type = def
1	finish	wf	VB	finish%1|finish%2	_	un	0:6
2	the	wf	DT	the	_	ignore	7:10
3	last	wf	JJ	last%1|last%2|last%3|last%4	last%5:00:00:ultimate:00	man	11:15
4	row	wf	NN	row%1|row%2	_	un	16:19

# text = remove the outer cover or wrapping of; 
# id = 01284271-v-1
# type = def
1	remove	wf	VB	remove%1|remove%2	_	un	0:6
2	the	wf	DT	the	_	ignore	7:10
3	outer	wf	JJ	outer%3	_	un	11:16
4	cover	wf	NN	cover%1|cover%2	_	un	17:22
5	or	wf	CC	or	_	ignore	23:25
6	wrapping	wf	NN	wrapping%1|wrap%2	wrapping%1:06:00::	man	26:34
7	of	wf	IN	of	_	ignore	35:37
8	;	wf	punc	_	_	ignore	37:38

# text = Let's unwrap the gifts!
# id = 01284271-v-2
# type = ex
1	Let	wf	_	let%1|let%2	_	un	0:3
2	's	wf	_	us	_	ignore	3:5
3	unwrap	wf	_	unwrap%2	unwrap%2:35:00::	auto	6:12
4	the	wf	_	the	_	ignore	13:16
5	gifts	wf	_	gift%1|gift%2	_	un	17:22
6	!	wf	punc	_	_	ignore	22:23

# text = undo the parcel
# id = 01284271-v-3
# type = ex
1	undo	wf	_	undo%2	undo%2:35:03::	auto	0:4
2	the	wf	_	the	_	ignore	5:8
3	parcel	wf	_	parcel%1|parcel%2	_	un	9:15

# text = bind or tie with a cord
# id = 01286674-v-1
# type = def
1	bind	wf	VB	bind%1|bind%2	_	un	0:4
2	or	wf	CC	or	_	ignore	5:7
3	tie	wf	VB	tie%1|tie%2	_	un	8:11
4	with	wf	IN	with	_	ignore	12:16
5	a	wf	DT	a	_	ignore	17:18
6	cord	wf	NN	cord%1|cord%2	_	un	19:23

# text = cause to become loose; 
# id = 01284908-v-1
# type = def
1	cause	wf	VB	cause%1|cause%2	_	un	0:5
2	to	wf	TO	to	_	ignore	6:8
3	become	wf	VB	become%2	_	un	9:15
4	loose	wf	JJ	loose%2|loose%3|loose%4	_	un	16:21
5	;	wf	punc	_	_	ignore	21:22

# text = undo the shoelace
# id = 01284908-v-2
# type = ex
1	undo	wf	_	undo%2	undo%2:35:01::	auto	0:4
2	the	wf	_	the	_	ignore	5:8
3	shoelace	wf	_	shoelace%1	_	un	9:17

# text = untie the knot
# id = 01284908-v-3
# type = ex
1	untie	wf	_	untie%2	untie%2:35:01::	auto	0:5
2	the	wf	_	the	_	ignore	6:9
3	knot	wf	_	knot%1|knot%2	_	un	10:14

# text = loosen the necktie
# id = 01284908-v-4
# type = ex
1	loosen	wf	_	loosen%2	loosen%2:35:05::	auto	0:6
2	the	wf	_	the	_	ignore	7:10
3	necktie	wf	_	necktie%1	_	un	11:18

# text = tie a gag around someone's mouth in order to silence them; 
# id = 01284683-v-1
# type = def
1	tie	wf	VB	tie%1|tie%2	_	un	0:3
2	a	wf	DT	a	_	ignore	4:5
3	gag	wf	NN	gag%1|gag%2	gag%1:06:00::	man	6:9
4	around	wf	IN	around%4	_	un	10:16
5	someone's	wf	NN	someone%1	someone%1:03:00::	auto	17:26
6	mouth	wf	NN	mouth%1|mouth%2	mouth%1:08:01::	man	27:32
7	in	wf	IN	in	_	ignore	33:35
8	order	wf	NN	order%1|order%2	_	ignore	36:41
9	to	wf	TO	to	_	ignore	42:44
10	silence	wf	VB	silence%1|silence%2	silence%2:30:00::	man	45:52
11	them	wf	PRP	them	_	ignore	53:57
12	;	wf	punc	_	_	ignore	57:58

# text = The burglars gagged the home owner and tied him to a chair
# id = 01284683-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	burglars	wf	_	burglar%1	_	un	4:12
3	gagged	wf	_	gag%2	gag%2:35:07::	auto	13:19
4	the	wf	_	the	_	ignore	20:23
5	home	wf	_	home%1|home%2|home%3|home%4	_	un	24:28
6	owner	wf	_	owner%1	_	un	29:34
7	and	wf	_	and	_	ignore	35:38
8	tied	wf	_	tie%2|tied%3	_	un	39:43
9	him	wf	_	him	_	ignore	44:47
10	to	wf	_	to	_	ignore	48:50
11	a	wf	_	a	_	ignore	51:52
12	chair	wf	_	chair%1|chair%2	_	un	53:58

# text = fasten with a latch; 
# id = 01286777-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	latch	wf	NN	latch%1|latch%2	latch%1:06:00::|latch%1:06:01::	man	14:19
5	;	wf	punc	_	_	ignore	19:20

# text = latch the door
# id = 01286777-v-2
# type = ex
1	latch	wf	_	latch%1|latch%2	latch%2:35:00::	auto	0:5
2	the	wf	_	the	_	ignore	6:9
3	door	wf	_	door%1	_	un	10:14

# text = connect or secure to; 
# id = 01286151-v-1
# type = def
1	connect	wf	VB	connect%2	_	un	0:7
2	or	wf	CC	or	_	ignore	8:10
3	secure	wf	VB	secure%2|secure%3	_	un	11:17
4	to	wf	TO	to	_	ignore	18:20
5	;	wf	punc	_	_	ignore	20:21

# text = They rigged the bomb to the ignition
# id = 01286151-v-2
# type = ex
1	They	wf	_	they	_	ignore	0:4
2	rigged	wf	_	rig%2|rigged%3	rig%2:35:00::	auto	5:11
3	the	wf	_	the	_	ignore	12:15
4	bomb	wf	_	bomb%1|bomb%2	_	un	16:20
5	to	wf	_	to	_	ignore	21:23
6	the	wf	_	the	_	ignore	24:27
7	ignition	wf	_	ignition%1	_	un	28:36

# text = tie up with chains; 
# id = 01286436-v-1
# type = def
1	_	glob|b	_	tie_up%2	tie_up%2:35:00::	man	_
2	tie	cf|b	VB	tie%1|tie%2	_	un	0:3
3	up	cf|b	RB	up%2|up%3|up%4	_	un	4:6
4	with	wf	IN	with	_	ignore	7:11
5	chains	wf	NNS	chain%1|chains%1|chain%2	chain%1:06:03::	man	12:18
6	;	wf	punc	_	_	ignore	18:19

# text = chain up the prisoners
# id = 01286436-v-2
# type = ex
1	_	glob|a	_	chain_up%2	chain_up%2:35:00::	auto	_
2	chain	cf|a	_	chain%1|chain%2	_	un	0:5
3	up	cf|a	_	up%2|up%3|up%4	_	un	6:8
4	the	wf	_	the	_	ignore	9:12
5	prisoners	wf	_	prisoner%1	_	un	13:22

# text = secure with a bitt; 
# id = 01286554-v-1
# type = def
1	secure	wf	VB	secure%2|secure%3	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	bitt	wf	NN	bitt%1|bitt%2	bitt%1:06:00::	man	14:18
5	;	wf	punc	_	_	ignore	18:19

# text = bitt the ship line
# id = 01286554-v-2
# type = ex
1	bitt	wf	_	bitt%1|bitt%2	bitt%2:35:00::	auto	0:4
2	the	wf	_	the	_	ignore	5:8
3	ship	wf	_	ship%1|ship%2	_	un	9:13
4	line	wf	_	line%1|line%2	_	un	14:18

# text = fasten together rods of iron in order to heat or weld them
# id = 01287388-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	together	wf	RB	together%3|together%4	_	un	7:15
3	rods	wf	NNS	rod%1	rod%1:06:00::	man	16:20
4	of	wf	IN	of	_	ignore	21:23
5	iron	wf	NN	iron%1|iron%2|iron%3	iron%1:27:00::	man	24:28
6	in	wf	IN	in	_	ignore	29:31
7	order	wf	NN	order%1|order%2	_	ignore	32:37
8	to	wf	TO	to	_	ignore	38:40
9	heat	wf	VB	heat%1|heat%2	heat%2:30:01::	man	41:45
10	or	wf	CC	or	_	ignore	46:48
11	weld	wf	VB	weld%1|weld%2	weld%2:35:00::	man	49:53
12	them	wf	PRP	them	_	ignore	54:58

# text = fasten or secure with a rope, string, or cord; 
# id = 01285440-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	or	wf	CC	or	_	ignore	7:9
3	secure	wf	VB	secure%2|secure%3	_	un	10:16
4	with	wf	IN	with	_	ignore	17:21
5	a	wf	DT	a	_	ignore	22:23
6	rope	wf	NN	rope%1|rope%2	rope%1:06:00::	man	24:28
7	,	wf	punc	_	_	ignore	28:29
8	string	wf	NN	string%1|string%2	string%1:06:00::	man	30:36
9	,	wf	punc	_	_	ignore	36:37
10	or	wf	CC	or	_	ignore	38:40
11	cord	wf	NN	cord%1|cord%2	_	un	41:45
12	;	wf	punc	_	_	ignore	45:46

# text = They tied their victim to the chair
# id = 01285440-v-2
# type = ex
1	They	wf	_	they	_	ignore	0:4
2	tied	wf	_	tie%2|tied%3	tie%2:35:00::	auto	5:9
3	their	wf	_	their	_	ignore	10:15
4	victim	wf	_	victim%1	_	un	16:22
5	to	wf	_	to	_	ignore	23:25
6	the	wf	_	the	_	ignore	26:29
7	chair	wf	_	chair%1|chair%2	_	un	30:35

# text = fasten with or as if with a garter
# id = 01287681-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	or	wf	CC	or	_	ignore	12:14
4	as	wf	IN	as	_	ignore	15:17
5	if	wf	IN	if	_	ignore	18:20
6	with	wf	IN	with	_	ignore	21:25
7	a	wf	DT	a	_	ignore	26:27
8	garter	wf	NN	garter%1|garter%2	garter%1:06:00::	man	28:34

# text = bind together with a cord or rope; 
# id = 01287537-v-1
# type = def
1	bind	wf	VB	bind%1|bind%2	_	un	0:4
2	together	wf	RB	together%3|together%4	_	un	5:13
3	with	wf	IN	with	_	ignore	14:18
4	a	wf	DT	a	_	ignore	19:20
5	cord	wf	NN	cord%1|cord%2	_	un	21:25
6	or	wf	CC	or	_	ignore	26:28
7	rope	wf	NN	rope%1|rope%2	rope%1:06:00::	man	29:33
8	;	wf	punc	_	_	ignore	33:34

# text = Lash together these barrels!
# id = 01287537-v-2
# type = ex
1	_	glob|a	_	lash_together%2	lash_together%2:35:00::	auto	_
2	Lash	cf|a	_	lash%1|lash%2	_	un	0:4
3	together	cf|a	_	together%3|together%4	_	un	5:13
4	these	wf	_	these	_	ignore	14:19
5	barrels	wf	_	barrel%1|barrels%1|barrel%2	_	un	20:27
6	!	wf	punc	_	_	ignore	27:28

# text = fasten or join with a loop; 
# id = 01286290-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	or	wf	CC	or	_	ignore	7:9
3	join	wf	VB	join%1|join%2	join%2:35:01::	man	10:14
4	with	wf	IN	with	_	ignore	15:19
5	a	wf	DT	a	_	ignore	20:21
6	loop	wf	NN	loop%1|loop%2	loop%1:25:00::	man	22:26
7	;	wf	punc	_	_	ignore	26:27

# text = He looped the watch through his belt
# id = 01286290-v-2
# type = ex
1	He	wf	_	he	_	ignore	0:2
2	looped	wf	_	loop%2	loop%2:35:01::	auto	3:9
3	the	wf	_	the	_	ignore	10:13
4	watch	wf	_	watch%1|watch%2	_	un	14:19
5	through	wf	_	through%3|through%4	_	un	20:27
6	his	wf	_	his	_	ignore	28:31
7	belt	wf	_	belt%1|belt%2	_	un	32:36

# text = secure with or as if with ropes; 
# id = 01286913-v-1
# type = def
1	secure	wf	VB	secure%2|secure%3	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	or	wf	CC	or	_	ignore	12:14
4	as	wf	IN	as	_	ignore	15:17
5	if	wf	IN	if	_	ignore	18:20
6	with	wf	IN	with	_	ignore	21:25
7	ropes	wf	VBZ	rope%1|rope%2	rope%1:06:00::	man	26:31
8	;	wf	punc	_	_	ignore	31:32

# text = tie down the prisoners
# id = 01286913-v-2
# type = ex
1	_	glob|a	_	tie_down%2	tie_down%2:35:00::	auto	_
2	tie	cf|a	_	tie%1|tie%2	_	un	0:3
3	down	cf|a	_	down%1|down%2|down%3|down%4	_	un	4:8
4	the	wf	_	the	_	ignore	9:12
5	prisoners	wf	_	prisoner%1	_	un	13:22

# text = tie up the old newspapers and bring them to the recycling shed
# id = 01286913-v-3
# type = ex
1	_	glob|b	_	tie_up%2	tie_up%2:35:00::	auto	_
2	tie	cf|b	_	tie%1|tie%2	_	un	0:3
3	up	cf|b	_	up%2|up%3|up%4	_	un	4:6
4	the	wf	_	the	_	ignore	7:10
5	old	wf	_	old%1|old%3	_	un	11:14
6	newspapers	wf	_	newspaper%1	_	un	15:25
7	and	wf	_	and	_	ignore	26:29
8	bring	wf	_	bring%2	_	un	30:35
9	them	wf	_	them	_	ignore	36:40
10	to	wf	_	to	_	ignore	41:43
11	the	wf	_	the	_	ignore	44:47
12	recycling	wf	_	recycling%1|recycle%2	_	un	48:57
13	shed	wf	_	shed%1|shed%2|shed%3	_	un	58:62

# text = restrain with fetters
# id = 01288052-v-1
# type = def
1	restrain	wf	VB	restrain%2	_	un	0:8
2	with	wf	IN	with	_	ignore	9:13
3	fetters	wf	NNS	fetter%1|fetter%2	fetter%1:06:00::	man	14:21

# text = tie the wings and legs of a bird before cooking it
# id = 01287797-v-1
# type = def
1	tie	wf	VB	tie%1|tie%2	_	un	0:3
2	the	wf	DT	the	_	ignore	4:7
3	wings	wf	NNS	wing%1|wings%1|wing%2	wing%1:05:00::	man	8:13
4	and	wf	CC	and	_	ignore	14:17
5	legs	wf	NNS	leg%1|legs%1	leg%1:08:01::	man	18:22
6	of	wf	IN	of	_	ignore	23:25
7	a	wf	DT	a	_	ignore	26:27
8	bird	wf	NN	bird%1|bird%2	bird%1:05:00::	man	28:32
9	before	wf	IN	before%4	_	un	33:39
10	cooking	wf	VBG	cooking%1|cook%2	cook%2:30:00::	man	40:47
11	it	wf	PRP	it	_	ignore	48:50

# text = wrap (a gift) attractively
# id = 01284160-v-1
# type = def
1	wrap	wf	VB	wrap%1|wrap%2	wrap%2:35:00::	man	0:4
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	5:6
4	a	wf	DT	a	_	ignore	6:7
5	gift	wf	NN	gift%1|gift%2	gift%1:21:00::	man	8:12
6	)	wf	punc	_	_	ignore	12:13
7	_	aux	_	_	_	_	_
8	attractively	wf	RB	attractively%4	attractively%4:02:00::	auto	14:26

# text = remove the chains from
# id = 01288808-v-1
# type = def
1	remove	wf	VB	remove%1|remove%2	_	un	0:6
2	the	wf	DT	the	_	ignore	7:10
3	chains	wf	NNS	chain%1|chains%1|chain%2	chain%1:06:03::	man	11:17
4	from	wf	IN	from	_	ignore	18:22

# text = tie together somebody's limbs; 
# id = 01287929-v-1
# type = def
1	tie	wf	VB	tie%1|tie%2	_	un	0:3
2	together	wf	RB	together%3|together%4	_	un	4:12
3	somebody's	wf	NN	somebody%1	somebody%1:03:00::	auto	13:23
4	limbs	wf	NNS	limb%1	_	un	24:29
5	;	wf	punc	_	_	ignore	29:30

# text = The prisoner was hog-tied
# id = 01287929-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	prisoner	wf	_	prisoner%1	_	un	4:12
3	was	wf	_	be%2	_	un	13:16
4	hog-tied	wf	_	hog-tie%2	hog-tie%2:35:00::	auto	17:25

# text = bind or tie up in or as if in a faggot; 
# id = 01287242-v-1
# type = def
1	bind	wf	VB	bind%1|bind%2	_	un	0:4
2	or	wf	CC	or	_	ignore	5:7
3	_	glob|b	_	tie_up%2	tie_up%2:35:00::	man	_
4	tie	cf|b	VB	tie%1|tie%2	_	un	8:11
5	up	cf|b	RP	up%2|up%3|up%4	_	un	12:14
6	in	wf	IN	in	_	ignore	15:17
7	or	wf	CC	or	_	ignore	18:20
8	as	wf	IN	as	_	ignore	21:23
9	if	wf	IN	if	_	ignore	24:26
10	in	wf	IN	in	_	ignore	27:29
11	a	wf	DT	a	_	ignore	30:31
12	faggot	wf	NN	faggot%1|faggot%2	faggot%1:06:00::	man	32:38
13	;	wf	punc	_	_	ignore	38:39

# text = faggot up the sticks
# id = 01287242-v-2
# type = ex
1	_	glob|a	_	faggot_up%2	faggot_up%2:35:00::	auto	_
2	faggot	cf|a	_	faggot%1|faggot%2	_	un	0:6
3	up	cf|a	_	up%2|up%3|up%4	_	un	7:9
4	the	wf	_	the	_	ignore	10:13
5	sticks	wf	_	stick%1|stick%2	_	un	14:20

# text = fasten or secure with chains; 
# id = 01288636-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	or	wf	CC	or	_	ignore	7:9
3	secure	wf	VB	secure%2|secure%3	_	un	10:16
4	with	wf	IN	with	_	ignore	17:21
5	chains	wf	NNS	chain%1|chains%1|chain%2	chain%1:06:03::	man	22:28
6	;	wf	punc	_	_	ignore	28:29

# text = Chain the chairs together
# id = 01288636-v-2
# type = ex
1	Chain	wf	_	Chain%1|chain%1|chain%2	chain%2:35:00::	auto	0:5
2	the	wf	_	the	_	ignore	6:9
3	chairs	wf	_	chair%1|chair%2	_	un	10:16
4	together	wf	_	together%3|together%4	_	un	17:25

# text = make free
# id = 01288554-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	free	wf	JJ	free%1|free%2|free%3|free%4	_	un	5:9

# text = fasten with a picket; 
# id = 01289026-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	picket	wf	NN	picket%1|picket%2	picket%1:06:00::	man	14:20
5	;	wf	punc	_	_	ignore	20:21

# text = picket the goat
# id = 01289026-v-2
# type = ex
1	picket	wf	_	picket%1|picket%2	picket%2:35:00::	auto	0:6
2	the	wf	_	the	_	ignore	7:10
3	goat	wf	_	goat%1	_	un	11:15

# text = tie with a strap
# id = 01289492-v-1
# type = def
1	tie	wf	VB	tie%1|tie%2	_	un	0:3
2	with	wf	IN	with	_	ignore	4:8
3	a	wf	DT	a	_	ignore	9:10
4	strap	wf	NN	strap%1|strap%2	strap%1:06:01::	man	11:16

# text = fasten with a rope; 
# id = 01289155-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	rope	wf	NN	rope%1|rope%2	rope%1:06:00::	man	14:18
5	;	wf	punc	_	_	ignore	18:19

# text = rope the bag securely
# id = 01289155-v-2
# type = ex
1	rope	wf	_	rope%1|rope%2	rope%2:35:00::	auto	0:4
2	the	wf	_	the	_	ignore	5:8
3	bag	wf	_	bag%1|bag%2	_	un	9:12
4	securely	wf	_	securely%4	_	un	13:21

# text = fasten with a cable; 
# id = 01288921-v-1
# type = def
1	fasten	wf	VB	fasten%2	_	un	0:6
2	with	wf	IN	with	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	cable	wf	NN	cable%1|cable%2	cable%1:06:00::	man	14:19
5	;	wf	punc	_	_	ignore	19:20

# text = cable trees
# id = 01288921-v-2
# type = ex
1	cable	wf	_	cable%1|cable%2	cable%2:35:00::	auto	0:5
2	trees	wf	_	tree%1|tree%2	_	un	6:11

# text = remove the strap or straps from
# id = 01289871-v-1
# type = def
1	remove	wf	VB	remove%1|remove%2	_	un	0:6
2	the	wf	DT	the	_	ignore	7:10
3	strap	wf	NN	strap%1|strap%2	strap%1:06:01::	man	11:16
4	or	wf	CC	or	_	ignore	17:19
5	straps	wf	VBZ	strap%1|strap%2	strap%1:06:01::	man	20:26
6	from	wf	RP	from	_	ignore	27:31

# text = tie with a tether; 
# id = 01290009-v-1
# type = def
1	tie	wf	VB	tie%1|tie%2	_	un	0:3
2	with	wf	IN	with	_	ignore	4:8
3	a	wf	DT	a	_	ignore	9:10
4	tether	wf	NN	tether%1|tether%2	tether%1:06:00::	man	11:17
5	;	wf	punc	_	_	ignore	17:18

# text = tether horses
# id = 01290009-v-2
# type = ex
1	tether	wf	_	tether%1|tether%2	tether%2:35:00::	auto	0:6
2	horses	wf	_	horse%1|horse%2	_	un	7:13

# text = be attached; be in contact with
# id = 01290255-v-1
# type = def
1	be	wf	VB	be%2	_	un	0:2
2	attached	wf	VBN	attach%2|attached%3	attach%2:35:02::	man	3:11
3	;	wf	punc	_	_	ignore	11:12
4	be	wf	VB	be%2	_	un	13:15
5	in	wf	IN	in	_	ignore	16:18
6	contact	wf	NN	contact%1|contact%2	contact%1:26:00::	man	19:26
7	with	wf	IN	with	_	ignore	27:31

# text = attach to one another, for safety; 
# id = 01289330-v-1
# type = def
1	attach	wf	VB	attach%2	attach%2:35:02::	man	0:6
2	to	wf	TO	to	_	ignore	7:9
3	one	wf	CD	one%1|one%3	_	ignore	10:13
4	another	wf	PRP	another	_	ignore	14:21
5	,	wf	punc	_	_	ignore	21:22
6	for	wf	IN	for	_	ignore	23:26
7	safety	wf	NN	safety%1	safety%1:26:00::	man	27:33
8	;	wf	punc	_	_	ignore	33:34

# text = The mountaineers roped up when they started the final ascent
# id = 01289330-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	mountaineers	wf	_	mountaineer%1|mountaineer%2	_	un	4:16
3	_	glob|a	_	rope_up%2	rope_up%2:35:00::	auto	_
4	roped	cf|a	_	rope%2	_	un	17:22
5	up	cf|a	_	up%2|up%3|up%4	_	un	23:25
6	when	wf	_	when	_	ignore	26:30
7	they	wf	_	they	_	ignore	31:35
8	started	wf	_	start%2	_	un	36:43
9	the	wf	_	the	_	ignore	44:47
10	final	wf	_	final%1|final%3	_	un	48:53
11	ascent	wf	_	ascent%1	_	un	54:60

# text = attach to; 
# id = 01290133-v-1
# type = def
1	attach	wf	VB	attach%2	attach%2:35:02::	man	0:6
2	to	wf	TO	to	_	ignore	7:9
3	;	wf	punc	_	_	ignore	9:10

# text = They fastened various nicknames to each other
# id = 01290133-v-2
# type = ex
1	They	wf	_	they	_	ignore	0:4
2	fastened	wf	_	fasten%2|fastened%3	fasten%2:35:03::	auto	5:13
3	various	wf	_	various%3	_	un	14:21
4	nicknames	wf	_	nickname%1|nickname%2	_	un	22:31
5	to	wf	_	to	_	ignore	32:34
6	each	wf	_	each	_	ignore	35:39
7	other	wf	_	other%3	_	ignore	40:45

# text = restrain or bind with chains
# id = 01288461-v-1
# type = def
1	restrain	wf	VB	restrain%2	_	un	0:8
2	or	wf	CC	or	_	ignore	9:11
3	bind	wf	VB	bind%1|bind%2	_	un	12:16
4	with	wf	IN	with	_	ignore	17:21
5	chains	wf	NNS	chain%1|chains%1|chain%2	chain%1:06:03::	man	22:28

# text = come off due to an explosion or other strong force
# id = 01290945-v-1
# type = def
1	_	glob|b	_	come_off%2	come_off%2:35:01::	man	_
2	come	cf|b	VB	come%1|come%2	_	un	0:4
3	off	cf|b	IN	off%2|off%3|off%4	_	un	5:8
4	due	wf	JJ	due%1|due%3|due%4	purposefully_ignored%0:00:00::	man	9:12
5	to	wf	TO	to	_	ignore	13:15
6	an	wf	DT	an	_	ignore	16:18
7	explosion	wf	NN	explosion%1	explosion%1:04:00::	man	19:28
8	or	wf	CC	or	_	ignore	29:31
9	other	wf	JJ	other%3	_	un	32:37
10	_	glob|a	_	strong_force%1	strong_force%1:19:00::	auto	_
11	strong	cf|a	JJ	strong%3	_	un	38:44
12	force	cf|a	NN	force%1|force%2	_	un	45:50

# text = become attached; 
# id = 01290422-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	attached	wf	VBN	attach%2|attached%3	attach%2:35:02::	man	7:15
3	;	wf	punc	_	_	ignore	15:16

# text = The spider's thread attached to the window sill
# id = 01290422-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	spider's	wf	_	spider%1	_	un	4:12
3	thread	wf	_	thread%1|thread%2	_	un	13:19
4	attached	wf	_	attach%2|attached%3	attach%2:35:00::	auto	20:28
5	to	wf	_	to	_	ignore	29:31
6	the	wf	_	the	_	ignore	32:35
7	window	wf	_	window%1	_	un	36:42
8	sill	wf	_	sill%1	_	un	43:47

# text = make contact or come together; 
# id = 01291069-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:36:12::	man	0:4
2	contact	wf	NN	contact%1|contact%2	contact%1:11:00::	man	5:12
3	or	wf	CC	or	_	ignore	13:15
4	come	wf	VB	come%1|come%2	_	un	16:20
5	together	wf	RB	together%3|together%4	_	un	21:29
6	;	wf	punc	_	_	ignore	29:30

# text = The two roads join here
# id = 01291069-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	two	wf	_	two	_	ignore	4:7
3	roads	wf	_	road%1|roads%1	_	un	8:13
4	join	wf	_	join%1|join%2	join%2:35:00::	auto	14:18
5	here	wf	_	here%1|here%3|here%4	_	un	19:23

# text = confine or restrain with or as if with manacles or handcuffs; 
# id = 01288201-v-1
# type = def
1	confine	wf	VB	confine%2	_	un	0:7
2	or	wf	CC	or	_	ignore	8:10
3	restrain	wf	VB	restrain%2	_	un	11:19
4	with	wf	IN	with	_	ignore	20:24
5	or	wf	CC	or	_	ignore	25:27
6	as	wf	IN	as	_	ignore	28:30
7	if	wf	IN	if	_	ignore	31:33
8	with	wf	IN	with	_	ignore	34:38
