l,total
"unenforceable",1
"Nanda_Devi",1
"tarsier",1
"FICA",1
"Rockies",1
"sea_animal",1
"window_box",1
"modifiable",1
"rock_rattlesnake",1
"sex_offense",1
"fathometer",1
"collecting",1
"rely_upon",1
"primula",1
"apple_polisher",1
"paranoid_schizophrenia",1
"monograph",1
"Strigidae",1
"mitre_box",1
"halyard",1
"Mandelamine",1
"Bubalus_mindorensis",1
"Capra_falconeri",1
"double_bogey",1
"warily",1
"silently",1
"Consolida",1
"ground_fir",1
"backgammon",1
"victorian",1
"Shi'ite_Muslim",1
"alizarin_yellow",1
"fish-liver_oil",1
"ASCII_character_set",1
"acidulate",1
"public_figure",1
"immotile",1
"genus_Ranunculus",1
"Howard_Carter",1
"nominal_aphasia",1
"non-buoyant",1
"Rosh_Hashanah",1
"Jaghatai",1
"capital_of_the_Russian_Federation",1
"family_Proteaceae",1
"Pembroke_Welsh_corgi",1
"Leary",1
"kangaroo_bear",1
"pluralization",1
"cuboid_bone",1
"Christmastide",1
"watering_pot",1
"Slovenia",1
"Edith_Cavell",1
"ice_water",1
"Anthericum",1
"cottier",1
"Adelges_abietis",1
"Joan_Crawford",1
"discomfit",1
"division_Gymnomycota",1
"slide_by",1
"Ponce_de_Leon",1
"Irenaeus",1
"Bairdiella_chrysoura",1
"Ordovician",1
"genus_Dryopteris",1
"reprove",1
"nervus",1
"John_Singer_Sargent",1
"musca_volitans",1
"ci",1
"reaffirm",1
"Paul_Bunyan",1
"navy_blue",1
"denotive",1
"self-fertilized",1
"unpeopled",1
"love-song",1
"aerofoil",1
"w",1
"sphagnum_moss",1
"mechanical_piano",1
"consternation",1
"mustard_gas",1
"forty-seven",1
"travel_rapidly",1
"Hegel",1
"Riley_B_King",1
"Lepidodendraceae",1
"Macadamia_ternifolia",1
"leaded_bronze",1
"vice_president",1
"flannel_bush",1
"download",1
"Campephilus_principalis",1
"United_States_President",1
"gum-lac",1
"Liliales",1
"gasification",1
"lawfulness",1
"autoradiographic",1
"Falcatifolium",1
"Njord",1
"unvaccinated",1
"bronze_age",1
"Solenostemon_blumei",1
"Naiadales",1
"pizzaz",1
"treaty",1
"Paul_Ehrlich",1
"observing",1
"feel_like_a_million_dollars",1
"gabled",1
"making_water",1
"Gasterosteus_aculeatus",1
"riding_school",1
"Roald_Hoffmann",1
"Themistocles",1
"make_believe",1
"crinkly",1
"megacycle_per_second",1
"bandit",1
"landing_party",1
"closed_shop",1
"Erigeron_annuus",1
"ethanal_trimer",1
"social_system",1
"vena_digitalis",1
"strong_gale",1
"Cape_Cod_Bay",1
"European_hornbeam",1
"Peloponnesus",1
"Nerium_oleander",1
"Viscountess_Astor",1
"intruding",1
"pathologic_process",1
"Tsuga_caroliniana",1
"goal-directed",1
"Doctor_of_Laws",1
"pantry",1
"hermit_crab",1
"action_plant",1
"labor_camp",1
"fluegelhorn",1
"cockatoo",1
"Limeira",1
"melodrama",1
"archegoniate",1
"smoked_eel",1
"Agrigento",1
"erectile_tissue",1
"someway",1
"Vireonidae",1
"War_of_the_League_of_Augsburg",1
"polyamide",1
"stool_test",1
"Tayassu_pecari",1
"stellate",1
"skillfulness",1
"tread_down",1
"gunnery",1
"Douglass",1
"cinnamon_coloured",1
"Sol_Hurok",1
"arm-twisting",1
"pouring",1
"fuller",1
"pup_tent",1
"Baptisia_tinctoria",1
"Harold_Harefoot",1
"manually",1
"Transportation_Security_Administration",1
"Daricon",1
"monomaniac",1
"Hydrochoeridae",1
"labyrinthitis",1
"Gorkiy",1
"snapping_beetle",1
"hair_cell",1
"Mossbauer",1
"bendy_tree",1
"stromateid",1
"linksman",1
"Neoceratodus",1
"milk_intolerance",1
"genus_Macrozamia",1
"gomphothere",1
"running_title",1
"clock-watching",1
"azo",1
"air_transportation",1
"Shumard_oak",1
"faithlessness",1
"scratch_off",1
"wordy",1
"time_sharing",1
"undefined",1
"throw-weight",1
"blowsy",1
"Rhizopus_nigricans",1
"family_Alligatoridae",1
"struthiomimus",1
"Ambystoma_mexicanum",1
"unsanctified",1
"repulsiveness",1
"balmoral",1
"external_angle",1
"Ludwig_Wittgenstein",1
"neotenous",1
"necklace",1
"family_Porcellionidae",1
"emote",1
"off-season",1
"undesigned",1
"irreality",1
"wreckage",1
"nylons",1
"genus_Trichostigma",1
"skilled_worker",1
"bowtie_pasta",1
"insurance_coverage",1
"surrealism",1
"Carew",1
"bedless",1
"malapropism",1
"refracture",1
"infelicitously",1
"September_29",1
"synopsis",1
"congou",1
"Cystophora_cristata",1
"oxalic_acid",1
"cinnamon_bear",1
"Polygonatum_biflorum",1
"aqua_regia",1
"picture_element",1
"Hindu-Arabic_numeral",1
"Geogia_holly",1
"order_Sapindales",1
"woolly_daisy",1
"getting",1
"G._E._Moore",1
"cross-country_jumping",1
"unforested",1
"brilliant_pebble",1
"crispen",1
"ballet_dancer",1
"packing_plant",1
"surmisable",1
"Asclepias_incarnata",1
"lease-lend",1
"Copland",1
"temporal_arteritis",1
"glassblower",1
"green_fringed_orchis",1
"list_processing",1
"create_by_mental_act",1
"tactfulness",1
"alternative_energy",1
"bacterize",1
"Paprilus_alepidotus",1
"puissance",1
"a_trifle",1
"beanball",1
"renouncement",1
"ferocious",1
"ladies'-eardrops",1
"command_prompt",1
"overexcited",1
"crape_jasmine",1
"misbelieve",1
"black_Hollander",1
"Desmograthus",1
"Chirocephalus",1
"sheet_of_paper",1
"oceanaut",1
"medical_procedure",1
"Tetraclinis",1
"plaything",1
"Kahoolawe",1
"painted_cup",1
"Agathis_dammara",1
"Romans",1
"living_death",1
"insignia_of_rank",1
"Seidlitz_powder",1
"zilch",1
"smudgy",1
"clanswoman",1
"oxytetracycline",1
"Alligator_mississipiensis",1
"genus_Phocoena",1
"vandyke",1
"geometrid_moth",1
"monogynic",1
"robbery_conviction",1
"native_cranberry",1
"intracerebral",1
"chalk_talk",1
"hyperboloid",1
"intuitively",1
"endoplasm",1
"horny_structure",1
"house_guest",1
"sensory_nerve",1
"golden_thistle",1
"Porzana",1
"meadow_buttercup",1
"despicability",1
"Malopterurus_electricus",1
"resonating_chamber",1
"sleeping_partner",1
"solidifying",1
"Oleaceae",1
"hypothalamus",1
"executive_vice_president",1
"represented",1
"recombinant_human_insulin",1
"inhabitable",1
"digraph",1
"harrier_eagle",1
"durable_goods",1
"brochette",1
"deplumate",1
"Lake_Tsana",1
"heart_surgeon",1
"Islamic_calendar",1
"order_Siphonophora",1
"balas_ruby",1
"genus_Centrosema",1
"doorknocker",1
"heavenly_body",1
"sea_dog",1
"Antidorcas_euchore",1
"seckel",1
"Depokene",1
"ring_armour",1
"Mogul",1
"infielder",1
"conformably",1
"Cornhusker",1
"Ceratopteris_thalictroides",1
"gauge_boson",1
"wrestler",1
"get_stuck",1
"Sambucus_ebulus",1
"nickel-iron_accumulator",1
"waspish",1
"neritic_zone",1
"Sabinea",1
"body_mass_index",1
"order_Graminales",1
"fairy_bell",1
"putsch",1
"Hemigalus_hardwickii",1
"exchange_transfusion",1
"cottonseed_cake",1
"ginzo",1
"look_across",1
"petitionary",1
"trade_balance",1
"satiric",1
"genus_Perilla",1
"power_steering",1
"phimosis",1
"Thielavia_basicola",1
"River_Tyne",1
"unbending",1
"genus_Katsuwonus",1
"cigarette_holder",1
"meterstick",1
"horsy_set",1
"genus_Arctotis",1
"pop-fly",1
"Baron_Clive_of_Plassey",1
"impassively",1
"metabolically",1
"bristly_sarsparilla",1
"horsetail_milkweed",1
"Zeno_of_Citium",1
"Sumatra",1
"slouchingly",1
"Barbarea_vulgaris",1
"Tunisian_dirham",1
"Afro-wig",1
"Perisoreus_canadensis_capitalis",1
"flavouring",1
"Swinburne",1
"hard_liquor",1
"sweet_melon_vine",1
"privilege_against_self_incrimination",1
"Colon",1
"brown_algae",1
"April_Fools'",1
"Firmiana_simplex",1
"family_Scombresocidae",1
"Pacific_silver_fir",1
"hunting_and_gathering_society",1
"free_of_charge",1
"suggestibility",1
"befit",1
"Cedrela",1
"comparatively",1
"gastrointestinal",1
"Battle_Born_State",1
"take_arms",1
"pollen",1
"diabolatry",1
"day_return",1
"comparable_with",1
"concurrent_negligence",1
"doggedness",1
"marbleisation",1
"trend-setting",1
"Laney",1
"hurdles",1
"carbomycin",1
"Mary_Tudor",1
"diplomatist",1
"abashed",1
"latinise",1
"energy_of_activation",1
"Italian_capital",1
"mid-January",1
"Tule_tree",1
"overproud",1
"Sphyrna_tudes",1
"C.O.D.",1
"hematological",1
"MusD",1
"genus_Papaver",1
"Clavariaceae",1
"astonishment",1
"Benzoin",1
"Rioja",1
"moderate_breeze",1
"rush_grass",1
"synodic_month",1
"snidely",1
"gorger",1
"pollute",1
"wheat_beer",1
"silver_lace",1
"leg_extensor",1
"humanities",1
"lateral_thinking",1
"Chamaemelum",1
"particolored",1
"Sonchus_oleraceus",1
"dismantlement",1
"cabman",1
"Doppler_radar",1
"Old_world_white_pelican",1
"Euphorbia_hirsuta",1
"Calystegia",1
"idolized",1
"homefolk",1
"Ibsen",1
"salt_marsh_mallow",1
"dispensability",1
"Newton's_first_law_of_motion",1
"reshuffling",1
"Oklahoma",1
"ultraviolet_illumination",1
"polystyrene",1
"sun_lounge",1
"depictive",1
"colour_of_law",1
"soh",1
"canyon_live_oak",1
"publishing_firm",1
"family_Icteridae",1
"Cecropia_peltata",1
"Selaginellales",1
"family_Manidae",1
"Gaza",1
"melodic_theme",1
"razorback_hog",1
"International_Date_Line",1
"nonuniformity",1
"white_backlash",1
"nondrinker",1
"genus_Ceratopteris",1
"regular_hexagon",1
"unprovoking",1
"Jack_Kerouac",1
"wastebin",1
"Zealander",1
"wrist_watch",1
"Boann",1
"Cam_River",1
"Aby_Warburg",1
"Michaelmas_daisy",1
"masses",1
"black_racer",1
"Quine",1
"Canangium",1
"gibberellic_acid",1
"civil_wrong",1
"eternally",1
"Centropomidae",1
"restructure",1
"American_bog_asphodel",1
"Melville_Louis_Kossuth_Dewey",1
"blackboard_eraser",1
"rye_grass",1
"Carl_von_Linne",1
"overlarge",1
"formal_logic",1
"masquerader",1
"homogenisation",1
"James_Edward_Meade",1
"jobber",1
"sea_mile",1
"regression_equation",1
"BB",1
"Lavoisier",1
"Albuginaceae",1
"Nova_Lisboa",1
"import_credit",1
"Jansenism",1
"Blessed_Virgin",1
"mesial",1
"tragopan",1
"one-hundred-millionth",1
"thermosetting_compositions",1
"dress_blues",1
"nasalisation",1
"complicated",1
"cytokine",1
"millimicron",1
"Ceratopetalum",1
"pie_crust",1
"horse_wrangler",1
"Sclerotium",1
"Phlox_stellaria",1
"cold_sober",1
"knottiness",1
"squiffy",1
"sheepshead",1
"neuroscientist",1
"supercilium",1
"Revised_Version",1
"grugru_nut",1
"steel_drum",1
"Prunus_capuli",1
"Riemann",1
"wrestling_hold",1
"Jayshullah",1
"Kovna",1
"mystery_story",1
"anoxic",1
"pass_along",1
"stunningly",1
"Reformed",1
"mental_disorder",1
"Coolidge",1
"biometrics",1
"styrax_family",1
"galvanic_cell",1
"James_IV",1
"prairie_wagon",1
"deck_out",1
"claw_hatchet",1
"Meyerbeer",1
"waterbird",1
"American_arborvitae",1
"constructive_fraud",1
"battle_of_Marathon",1
"Hirudo",1
"long_division",1
"small-particle_pollution",1
"looping_ill",1
"mortgage_deed",1
"Iron_Chancellor",1
"Tho",1
"Bouviers_des_Flandres",1
"pussy-paw",1
"Benzedrine",1
"whiskers",1
"mitre_joint",1
"slagheap",1
"Pyotr_Tchaikovsky",1
"Gerhard_Kremer",1
"Lashkar-e-Tayyiba",1
"fiscal_year",1
"Norway_lobster",1
"stagnant_hypoxia",1
"serious-minded",1
"pyramidic",1
"doyley",1
"parfait_glass",1
"colourize",1
"leave_alone",1
"gambling_casino",1
"Guillain-Barre_syndrome",1
"worriedly",1
"silenus",1
"36",1
"heliozoan",1
"phylum_Cryptophyta",1
"tomentous",1
"subcutaneous_injection",1
"Somalia",1
"hypothalamic_releasing_factor",1
"George_VI",1
"inconsistently",1
"minatory",1
"Cortaderia_richardii",1
"Golden_Gate_Bridge",1
"anoperineal",1
"Pelham",1
"Mahratti",1
"snap_bean",1
"metacarpophalangeal_joint",1
"stogy",1
"genus_Sceliphron",1
"sex_chromatin",1
"refrigerator",1
"doula",1
"gymnastic_apparatus",1
"burlap",1
"dizygotic",1
"spotted_hyena",1
"Sir_Edward_Victor_Appleton",1
"sparkle_metal",1
"negro_peach",1
"degree_Fahrenheit",1
"skreigh",1
"pricing",1
"oyster_park",1
"ineradicable",1
"Tetraneuris_grandiflora",1
"inverse_cosine",1
"IPO",1
"rheostat",1
"Madreporaria",1
"Horn_of_Africa",1
"genus_Cynancum",1
"volt-ampere",1
"Vicia_orobus",1
"second-year",1
"gunmetal",1
"acantha",1
"ablaut",1
"drepanocytic_anaemia",1
"processed_cheese",1
"Dipladenia",1
"amoeboid",1
"Filippino_Lippi",1
"possum_oak",1
"oestrogen",1
"Katharevusa",1
"non-invertible",1
"hoagie",1
"ignition_interlock",1
"Chaetodipterus_faber",1
"antimeson",1
"vena_supraorbitalis",1
"logginess",1
"xenotransplantation",1
"water_lily",1
"landing_stage",1
"Harding",1
"ottar",1
"septic_tank",1
"Venturi_tube",1
"crucible_steel",1
"acrophobia",1
"box-shaped",1
"tribesman",1
"account_representative",1
"plywood",1
"midplane",1
"William_Faulkner",1
"nimblewill",1
"eyebath",1
"Epacris_impressa",1
"bestial",1
"shallow-draught",1
"Ravenna_grass",1
"rearwards",1
"Maker",1
"gilded_flicker",1
"gross_ton",1
"Triangulum",1
"sleigh_bell",1
"Athol_Fugard",1
"genus_Adenanthera",1
"genus_Crambe",1
"Spanish_pointer",1
"isle",1
"bell-bottoms",1
"genus_Trogium",1
"Appaloosa",1
"Percina",1
"tern",1
"self-enclosed",1
"interoceptor",1
"Adiantum",1
"Megalonychidae",1
"440_yards",1
"tibialis_muscle",1
"ICU",1
"hock-joint",1
"goggle_box",1
"bartlett",1
"Doctor_of_Theology",1
"succulence",1
"Swedish_rye",1
"tea_biscuit",1
"HA",1
"interfacial",1
"columbian_mammoth",1
"meanderingly",1
"pelisse",1
"Brachinus",1
"percentile",1
"oven-ready",1
"Tebet",1
"genus_Euthynnus",1
"gall_midge",1
"John_Joseph_McGraw",1
"mosquito_fern",1
"steam_iron",1
"definiteness",1
"low-voltage",1
"radiosensitive",1
"prepubescent",1
"logical_positivism",1
"Democratic_People's_Republic_of_Korea",1
"family_Orobanchaceae",1
"system_program",1
"XIII",1
"tomato_blight",1
"brass_instrument",1
"Agropyron_pauciflorum",1
"lemongrass_oil",1
"maimer",1
"orchestrator",1
"blowing",1
"inconceivability",1
"warden",1
"chalcid_fly",1
"central_vein_of_suprarenal_gland",1
"San_Jose_scale",1
"tinseled",1
"gallantly",1
"bobby-socker",1
"novella",1
"Giovanni_Battista_Cibo",1
"dial_phone",1
"catty-cornered",1
"Alaska_Native",1
"Chiang_Kai-shek",1
"bluffer",1
"clothes_pin",1
"miconazole",1
"green_gland",1
"renin",1
"cot_death",1
"in_hiding",1
"ovation",1
"genus_Hippobosca",1
"genus_Certhia",1
"lip-shaped",1
"areolar_tissue",1
"shiv",1
"Mephitis",1
"adult_tooth",1
"Great_Dog",1
"fire_marshal",1
"credo",1
"anthroposophy",1
"class_Hydrozoa",1
"flowering_quince",1
"Queen's_crape_myrtle",1
"comparably",1
"genus_Euplectella",1
"genus_Platylobium",1
"erythropoiesis",1
"Nelson_Mandela",1
"thermionic_tube",1
"dessiatine",1
"anterior_pituitary",1
"thyroiditis",1
"base_rate",1
"family_Bacillaceae",1
"Russian_capital",1
"genus_Aletris",1
"Harpullia_cupanioides",1
"probiotic_microflora",1
"allelomorph",1
"bigotry",1
"unmanned",1
"Greenwich",1
"nonunionised",1
"yellow_ageratum",1
"wood_horsetail",1
"genus_Collinsonia",1
"public_debate",1
"capital_of_Turkey",1
"Cretan",1
"satisfice",1
"lymphangitis",1
"frowsty",1
"dielectrolysis",1
"Rhamnales",1
"non-dedicated_file_server",1
"animatism",1
"Antheraea",1
"coagulation_factor",1
"denationalise",1
"fashionably",1
"eagle-eyed",1
"Mauritian_monetary_unit",1
"button_pink",1
"acoustic_wave",1
"Plethodontidae",1
"Carchariidae",1
"genus_Oreortyx",1
"Walking_horse",1
"Mackinaw_boat",1
"lee_tide",1
"Oxytropis",1
"advisory_service",1
"Leicestershire",1
"circle_around",1
"side_door",1
"all_arounder",1
"moderating",1
"Congressional_Medal_of_Honor",1
"Pilsener",1
"Spirochaetales",1
"Symplocus",1
"cystic_vein",1
"alumbloom",1
"Mycteria_americana",1
"sweetie",1
"genus_Aquila",1
"ROM",1
"Bible",1
"Little_Corporal",1
"Capitonidae",1
"Calliope",1
"ski_conditions",1
"drabness",1
"genus_Pyrausta",1
"fisherman",1
"plant_material",1
"cockleburr",1
"filiate",1
"Reynolds",1
"black_rat",1
"ear-shell",1
"Uta_stansburiana",1
"bluish-lilac",1
"Joseph_M._Jacquard",1
"memory_device",1
"black_art",1
"Pterocarya",1
"hemming-stitch",1
"aposiopetic",1
"forrard",1
"school_bus",1
"transplacental",1
"Chico",1
"devil_grass",1
"Queen_Victoria",1
"Friedreich's_ataxia",1
"Truncocolumella_citrina",1
"accommodation_endorser",1
"prothrombinase",1
"trade_discount",1
"genus_Tropidoclonion",1
"short_aria",1
"St._Kitts_and_Nevis",1
"past_tense",1
"compression_fracture",1
"millionairess",1
"stovepiped",1
"tear_apart",1
"chain_mail",1
"William_Howard_Taft",1
"genus_Procnias",1
"Down_syndrome",1
"sea_otter",1
"snorkel_diving",1
"ornithologist",1
"genus_Peziza",1
"crampfish",1
"Michel_Ney",1
"Sir_Frederick_Gowland_Hopkins",1
"practicality",1
"merman",1
"Indian_rupee",1
"selenolatry",1
"cereal_oat",1
"Phaseolus_coccineus",1
"order_Malvales",1
"triangularity",1
"zoomorphism",1
"matriarchal",1
"low-ceilinged",1
"genus_Selene",1
"kor",1
"pyrocellulose",1
"olfactory_brain",1
"kurta",1
"algolagnic",1
"suspended_animation",1
"zalcitabine",1
"Henry_Louis_Aaron",1
"occult_arts",1
"input_program",1
"reducing_agent",1
"Jain",1
"felt_hat",1
"The_Virgin",1
"George_H.W._Bush",1
"font_cartridge",1
"duck_hunter",1
"subphylum_Craniata",1
"MS-DOS",1
"flavorlessness",1
"wholehearted",1
"major_term",1
"fixed_cost",1
"convector",1
"primaquine",1
"bunch_grass",1
"dot_matrix",1
"presumptuous",1
"social_function",1
"polymerization",1
"hirsuteness",1
"forfeited",1
"alpha-adrenergic_blocking_agent",1
"self-loading",1
"murmur_vowel",1
"robustious",1
"Sarcochilus",1
"Arenaria_groenlandica",1
"tea_cozy",1
"bill_of_entry",1
"promisee",1
"adequateness",1
"plethora",1
"Colaptes",1
"qibla",1
"family_Ichneumonidae",1
"radiator_grille",1
"unrespectable",1
"helminthiasis",1
"Perodicticus_potto",1
"line_organization",1
"genus_Amphiuma",1
"authoring_language",1
"thunder_lizard",1
"Naegele's_rule",1
"capital_of_South_Dakota",1
"crawdaddy",1
"care_delivery",1
"stealth_bomber",1
"Ho_Chi_Minh",1
"in_question",1
"diagnostic_test",1
"sportswriter",1
"family_Vitaceae",1
"xxii",1
"dendroidal",1
"Boris_Spassky",1
"mountain_chain",1
"President_John_Quincy_Adams",1
"actuarial_table",1
"deinocheirus",1
"genus_Trichys",1
"Ernst_Heinrich_Haeckel",1
"Vienna",1
"sq_ft",1
"unmutilated",1
"pedaler",1
"shell_out",1
"pharmacology",1
"genus_Potamogale",1
"genus_Sterna",1
"Robespierre",1
"closelipped",1
"37",1
"lodger",1
"Bela_Bartok",1
"odontology",1
"coonskin_cap",1
"hopscotch",1
"Meniscium",1
"thin-shelled",1
"wire-haired_terrier",1
"pharmacological_medicine",1
"run_afoul",1
"fridge",1
"syllabic_script",1
"entrance_money",1
"A-one",1
"Python_reticulatus",1
"distraint",1
"genus_Myrmecia",1
"Aboriginal_Australian",1
"Department_of_Justice",1
"white_snakeroot",1
"petrol",1
"downward-arching",1
"Labour",1
"minor_premiss",1
"2_Maccabees",1
"ozone",1
"Eragrostis_curvula",1
"dewdrop",1
"Canandaigua_Lake",1
"Hexagrammidae",1
"Tectona",1
"Rana_pipiens",1
"lamb_succory",1
"walrus_mustache",1
"175th",1
"hepatitis_delta",1
"Wolfgang_Pauli",1
"matchbook",1
"unploughed",1
"Common_Era",1
"erythrolysin",1
"blackmouth_bass",1
"genus_Coptis",1
"sphygmomanometer",1
"Allium_fistulosum",1
"white_sale",1
"lite",1
"potty_seat",1
"support_stocking",1
"cleaning_lady",1
"to_each_one",1
"family_Apidae",1
"styrene",1
"genus_Trichophaga",1
"wax_plant",1
"stipule",1
"atomic_number_66",1
"Black_woman",1
"sharkskin",1
"dammar",1
"tube-shaped_structure",1
"Algiers",1
"collective_agreement",1
"autotelism",1
"common_European_dogwood",1
"show_trial",1
"Cushing's_syndrome",1
"Cytisus_ramentaceus",1
"Sergei_Diaghilev",1
"santims",1
"water_bitternut",1
"Magh",1
"jagua",1
"premature_labour",1
"lapidation",1
"party_boss",1
"Astreus_pteridis",1
"Nepal_trumpet_flower",1
"Austro-Asiatic",1
"shindig",1
"vinegarroon",1
"Sitwell",1
"featherless",1
"order_Geraniales",1
"Hampton",1
"gust",1
"gill_slit",1
"proton_accelerator",1
"angel_food_cake",1
"vapidly",1
"disinformation",1
"Cheilanthes_lanosa",1
"Bunker_Buster",1
"dimethylglyoxime",1
"poison_mercury",1
"Pteropus_capestratus",1
"American_hornbeam",1
"genus_Doodia",1
"skilful",1
"out_of_thin_air",1
"poetiser",1
"heartleaf_arnica",1
"Opel",1
"fan_belt",1
"ill_luck",1
"cholic_acid",1
"pollutant",1
"blain",1
"Siluridae",1
"enlace",1
"family_Dactylopiidae",1
"mediastinum",1
"Carpodacus",1
"pediatrician",1
"blitheness",1
"thermometry",1
"hyperbolize",1
"genus_Carphophis",1
"William_and_Mary",1
"genus_Cynoscion",1
"busted",1
"in_other_words",1
"Britain",1
"computable",1
"objective_lens",1
"jabbing",1
"syntactic_category",1
"creditworthiness",1
"ladylikeness",1
"doodia",1
"ductility",1
"promotional_material",1
"pneumonic_plague",1
"dredger",1
"Salvinia",1
"Adelie",1
"Esperanto",1
"invidious",1
"Parry's_penstemon",1
"Drymoglossum",1
"rudder_blade",1
"farm_animal",1
"apiece",1
"irredentist",1
"boo-boo",1
"barbecued",1
"centre_of_curvature",1
"Agnes_de_Mille",1
"depth_bomb",1
"Albanian_monetary_unit",1
"USN",1
"glomerulus",1
"common_ax",1
"middle_Atlantic",1
"bogus",1
"physical_therapist",1
"demister",1
"Old_World",1
"ramous",1
"nautical_chain",1
"acrobatic",1
"venally",1
"tobacco_pipe",1
"attractive_force",1
"plantain_tree",1
"Walloons",1
"tape_recording",1
"Anagasta",1
"Earl_of_Leicester",1
"point_of_honor",1
"valvular",1
"periwigged",1
"custodial_account",1
"neurasthenia",1
"punchball",1
"Hesperian",1
"Nigeria",1
"shrewmouse",1
"Dail_Eireann",1
"Erebus",1
"Venetian_blind",1
"carpenter's_square",1
"schoolman",1
"wax_begonia",1
"orange_pekoe",1
"phrasal_idiom",1
"cystine",1
"Yom_Kippur",1
"Peke",1
"hour_circle",1
"Cortinarius_semisanguineus",1
"Sitka_willow",1
"Bertillon_system",1
"endemical",1
"glinting",1
"John_Roebling",1
"amitosis",1
"LASEK",1
"provisions",1
"Tridacnidae",1
"Chrysopidae",1
"pyrola",1
"Phacelia_campanularia",1
"percuss",1
"myrmecophyte",1
"Kirghizia",1
"industrialization",1
"ack-ack_gun",1
"scranch",1
"division_Euglenophyta",1
"induration_of_the_arteries",1
"Windsor_green",1
"pin_cherry",1
"maidenhead",1
"dkm",1
"Sorghum_vulgare_technicum",1
"Tagamet",1
"cousin-german",1
"sagebrush",1
"genus_Hydrangea",1
"variably",1
"Cali",1
"coarse-haired",1
"pentobarbital",1
"Mithraist",1
"machicolation",1
"nursing_aide",1
"polemoniaceous",1
"ivory_tower",1
"punched_card",1
"Newark",1
"optic_chiasma",1
"Mibit",1
"adit",1
"Klotho",1
"demobilization",1
"swallow_shrike",1
"Pilularia_globulifera",1
"lingam",1
"reformism",1
"fantods",1
"peaty",1
"fire_company",1
"magnetic_field_strength",1
"food_company",1
"mumbler",1
"clinker_block",1
"pug_nose",1
"black-market",1
"war_chest",1
"elastic_device",1
"Emilia_flammea",1
"DEA",1
"Alexander_Melville_Bell",1
"Rebecca_West",1
"Ethelred_I",1
"workbench",1
"detestation",1
"financial_center",1
"false_garlic",1
"countrywide",1
"Purkinje_fiber",1
"monetary_resource",1
"murine_typhus",1
"communist_economy",1
"class_Lycopodineae",1
"dustman",1
"parlor_grand",1
"stupendous",1
"sponge_morel",1
"capital_punishment",1
"aposiopesis",1
"smarmily",1
"Trichophaga",1
"bridge_agent",1
"one-seventh",1
"loveseat",1
"take_it_easy",1
"charge_plate",1
"duffer",1
"wild_calla",1
"William_Bradford_Shockley",1
"champagne",1
"transuranic_element",1
"Zeno_of_Elea",1
"junk_DNA",1
"Royal_Academy",1
"fire_salamander",1
"glibly",1
"selectman",1
"meteorological_observation_post",1
"1830s",1
"phlebotomus",1
"Glossopsitta_versicolor",1
"trapezius_muscle",1
"dillenia",1
"aromatic_compound",1
"retirement_savings_account",1
"orange_soda",1
"enigmatically",1
"escaped",1
"barque",1
"allophonic",1
"dressing_sack",1
"computer_industry",1
"autosome",1
"silver_mine",1
"pathogenically",1
"The_Holy_See",1
"genus_Santolina",1
"Armed_Forces_Day",1
"genus_Cassiope",1
"deceivingly",1
"circular_plane",1
"genus_Penstemon",1
"secondary_winding",1
"US_Postal_Inspection_Service",1
"Hus",1
"wingman",1
"home_help",1
"atrium_sinistrum",1
"weather_radar",1
"undisguised",1
"Ibero-mesornis",1
"hydraulic_press",1
"Prunus_demissa",1
"genus_Lactophrys",1
"chicken_liver",1
"Crown_Colony",1
"arteria_testicularis",1
"uninominal_voting_system",1
"home_buyer",1
"Frankfurt",1
"Ophrys",1
"foam_at_the_mouth",1
"calque_formation",1
"lithotomy",1
"even-pinnate_leaf",1
"philosophers'_stone",1
"picture_rail",1
"datemark",1
"common_spoonbill",1
"chicken_sandwich",1
"pedate_leaf",1
"magic_realism",1
"ski_parka",1
"thingmajig",1
"touch_system",1
"Poe",1
"affixial",1
"Georges_Enesco",1
"typewriter_font",1
"self-help",1
"Matthiola",1
"evening_star",1
"canalicular",1
"genus_Thalictrum",1
"seppuku",1
"Hugo_Junkers",1
"panzer",1
"silurid",1
"Trichodontidae",1
"double-hung_window",1
"Joseph_Mallord_William_Turner",1
"profitlessly",1
"rattle_on",1
"columnist",1
"corgi",1
"sesame",1
"genus_Ballota",1
"Diesel",1
"pleurodynia",1
"amir",1
"Schizachyrium_scoparium",1
"interfaith",1
"printing_press",1
"sword_of_Damocles",1
"Altay_Mountains",1
"genus_Cypripedium",1
"geometry_teacher",1
"man_of_letters",1
"true_lovers'_knot",1
"perish",1
"Brecht",1
"early_warning_system",1
"genus_Eretmochelys",1
"entoblast",1
"ascendancy",1
"storm_trooper",1
"polyfoam",1
"as_required",1
"genus_Boykinia",1
"discommode",1
"non-elective",1
"great_St_John's_wort",1
"computing_machine",1
"Louis_Sullivan",1
"Monnet",1
"prologuize",1
"tea_ball",1
"officialdom",1
"basic_iron",1
"Ethocaine",1
"sough",1
"shadow_play",1
"biological_warfare_defense",1
"Marantaceae",1
"dipstick",1
"ketorolac_tromethamine",1
"flightless_bird",1
"trimipramine",1
"frowningly",1
"Marmara_Denizi",1
"emptying",1
"Cephalotus_follicularis",1
"showmanship",1
"superclass_Gnathostomata",1
"Araujia",1
"Hungarian_lilac",1
"Gerris",1
"refueling",1
"injector",1
"conjunctival_veins",1
"Saint_Brigid",1
